compound_name,generic_name,indication_name,therapeutic_area,phase,filing_date,mechanism_of_action,indication_type
AAA601,Lutathera®,Gastroenteropancreatic neuroendocrine tumors,Oncology: Solid Tumors,Phase 3,2028,Radioligand therapy target SSTR,Supplementary Indication
AAA601,Lutathera®,"GEPNET, pediatrics",Oncology: Solid Tumors,Phase 2,,Radioligand therapy target SSTR,
AAA603,177Lu-NeoB,Breast cancer,Oncology: Solid Tumors,Phase 1,,Radioligand therapy target GRPR,
AAA603,177Lu-NeoB,Multiple solid tumors,Oncology: Solid Tumors,Phase 2,≥ 2029,Radioligand therapy target GRPR,Lead Indication
AAA614,AAA614,Solid tumors,Oncology: Solid Tumors,Phase 2,,Radioligand therapy target FAP,Lead Indication
AAA617,Pluvicto®,Oligometastatic prostate cancer,Oncology: Solid Tumors,Phase 3,≥ 2029,Radioligand therapy target PSMA,Supplementary Indication
AAA617,Pluvicto®,Metastatic hormone sensitive prostate cancer (mHSPC),Oncology: Solid Tumors,Registration,,Radioligand therapy target PSMA,Supplementary Indication
AAA817,225Ac-PSMA-617,Metastatic castration-resistant prostate cancer (mCRPC),Oncology: Solid Tumors,Phase 3,≥ 2029,Radioligand therapy target PSMA,Supplementary Indication
AAA817,225Ac-PSMA-617,post Lu Metastatic castration-resistant prostate cancer (mCRPC),Oncology: Solid Tumors,Phase 3,2028,Radioligand therapy target PSMA,Lead Indication
ABL001,Scemblix®,"Chronic myeloid leukemia, pediatrics",Oncology: Hematology,Phase 2,2027,BCR-ABL inhibitor,Supplementary Indication
AIN457,Cosentyx®,Polymyalgia rheumatica,Immunology,Registration,2026,IL17A inhibitor,Supplementary Indication
AMG334,Aimovig®,"Migraine, pediatrics",In-market Brands and Global Health,Phase 3,2028,CGRPR antagonist,Supplementary Indication
AMO959,AMO959,Prostate cancer,Oncology: Solid Tumors,Phase 1,,DNA PK inhibitor,Lead Indication
BAF312,Mayzent®,"Multiple sclerosis, pediatrics",Neuroscience,Phase 3,2027,"S1P1,5 receptor modulator",Supplementary Indication
BYL719,Vijoyce®,Lymphatic malformations,Oncology: Solid Tumors,Phase 3,≥ 2029,PI3K-alpha inhibitor,Supplementary Indication
CYX082,farabursen,Autosomal dominant polycystic kidney disease,"Cardiovascular, Renal and Metabolic",Phase 1,,MIR17 inhibitor,Lead Indication
DAK539,pelabresib,Myelofibrosis,Oncology: Hematology,Phase 3,2026,BET inhibitor,Lead Indication
DFT383,DFT383,Cystinosis,Neuroscience,Phase 1,,CTNS gene delivery,Lead Indication
DII235,DII235,CVRR-Lp(a),"Cardiovascular, Renal and Metabolic",Phase 2,≥ 2029,siRNA targeting Lp(a) MRNA,Lead Indication
DWH213,del-brax,Facioscapulohumeral muscular dystrophy,Neuroscience,Phase 3,2028,siRNA DUX4 knockdown,Lead Indication
DZR123,tulmimetostat,Metastatic prostate cancer,Oncology: Solid Tumors,Phase 1,,"EZH1, EZH2 inhibitor",
DZR123,tulmimetostat,Solid tumors & lymphomas,Oncology: Solid Tumors,Phase 2,,"EZH1, EZH2 inhibitor",Lead Indication
ECI830,ECI830,Breast cancer,Oncology: Solid Tumors,Phase 1,,CDK2 inhibitor,Lead Indication
EDI048,EDI048,Cryptosporidiosis,In-market Brands and Global Health,Phase 2,,CpPI(4)K inhibitor,Lead Indication
EDK060,EDK060,Charcot-Marie-Tooth disease,Neuroscience,Phase 1,,,Lead Indication
ESP359,ESP359,Solid tumors,Oncology: Solid Tumors,Phase 1,,Radioligand therapy target DLL3,Lead Indication
EWF980,del-desiran,Myotonic dystrophy type 1,Neuroscience,Phase 3,2027,siRNA DMPK knockdown,Lead Indication
EYU688,EYU688,Dengue fever,In-market Brands and Global Health,Phase 2,,NS4B inhibitor,Lead Indication
