,COMPOUND NAMEi,INDICATIONi,AREA OF FOCUSi,SUBMISSION TYPEi,COMPOUND TYPEi
Phase 1,ABRYSVO current,Respiratory Syncytial Virus Infection (pediatric),Vaccines,Product Enhancement,Vaccine
Phase 1,claturafenib (PF-07799933) current,Advanced Solid Tumors,Oncology,New Molecular Entity,Small Molecule
Phase 1,Dekavil current,Rheumatoid Arthritis (Biologic),Inflammation & Immunology,New Molecular Entity,Biologic
Phase 1,MET-034i +/- berobenatide (MET-097i) (PF-08654698 +/- PF-08653944) current,Chronic Weight Management (Biologic),Internal Medicine,New Molecular Entity,Biologic
Phase 1,MET-224o (PF-08656796) current,Chronic Weight Management (Biologic),Internal Medicine,New Molecular Entity,Biologic
Phase 1,MET-815i (PF-08656795) current,Chronic Weight Management (Biologic),Internal Medicine,New Molecular Entity,Biologic
Phase 1,PF-06835375 current,Lupus (Biologic),Inflammation & Immunology,Product Enhancement,Biologic
Phase 1,PF-06940434 current,Advanced Solid Tumors (Biologic),Oncology,New Molecular Entity,Biologic
Phase 1,PF-07258669 current,Malnutrition,Internal Medicine,New Molecular Entity,Small Molecule
Phase 1,PF-07832837 current,Atopic Dermatitis (Biologic),Inflammation & Immunology,New Molecular Entity,Biologic
