name,phase_badges,description,therapeutic_area,indication,collaboration,notes,expected_submission_timeline,aria_label_name,aria_label_indication
SAR446422,1,CD28xOX40 bispecific Ab,Immunology,Inflammatory indication,,,Not available yet,SAR446422,Inflammatory indication
SAR446959,1,MMP13xADAMTS5xCAP Nanobody® VHH,Immunology,Knee osteoarthritis,,,Not available yet,SAR446959,Knee osteoarthritis 
SAR448501,1,CD20 bispecific mAb,Immunology,Inflammatory indication,,Also known as DR-0201,Not available yet,SAR448501,Inflammatory indication
balinatunfib,2,Oral TNFR1 signaling inhibitor,Immunology,Ulcerative colitis,,Also known as SAR441566,Not available yet,balinatunfib,Ulcerative colitis
balinatunfib,2,Oral TNFR1 signaling inhibitor,Immunology,Crohn’s disease,,Also known as SAR441566,Not available yet,balinatunfib,Crohn’s disease
brivekimig,2,TNFaxOX40L Nanobody® VHH,Immunology,"Type 1 diabetes, stage 3",,,Not available yet,brivekimig,"Type 1 diabetes, stage 3"
brivekimig,2,TNFaxOX40L Nanobody® VHH,Immunology,Crohn’s disease,,,Not available yet,brivekimig,Crohn’s disease
brivekimig,2,TNFaxOX40L Nanobody® VHH,Immunology,Ulcerative colitis,,,Not available yet,brivekimig,Ulcerative colitis
brivekimig,2,TNFaxOX40L Nanobody® VHH,Immunology,Hidradenitis suppurativa,,,Not available yet,brivekimig,Hidradenitis suppurativa
frexalimab,2,CD40L mAb,Immunology,Type 1 diabetes,Developed in collaboration with ImmuNext,Also known as SAR441344,Not available yet,frexalimab,Type 1 diabetes
itepekimab,2,IL33 mAb,Immunology,Chronic rhinosinusitis without nasal polyps,Developed in collaboration with Regeneron,,Not available yet,itepekimab,Chronic rhinosinusitis without nasal polyps
lunsekimig,2,IL13xTSLP Nanobody® VHH,Immunology,"Asthma, high-risk",,Also known as SAR443765,Not available yet,lunsekimig,"Asthma, high-risk"
